step,wall_time,mean_speed,mean_nnd,global_polarity,flock_radius,mean_reward
421,40.834,0.71275,0.83694,0.9798,4.20541,0.72621
422,40.915,0.71231,0.81716,0.9801,4.19385,0.72941
423,40.994,0.71333,0.80773,0.97955,4.18346,0.73221
424,41.074,0.71441,0.80043,0.97994,8.52585,0.73624
425,41.151,0.71562,0.79216,0.98034,11.76688,0.74059
426,41.231,0.71686,0.78748,0.98072,11.76548,0.74514
427,41.311,0.71774,0.79038,0.98099,15.08156,0.74994
428,41.39,0.72004,0.78278,0.98134,18.39197,0.7535
429,41.47,0.72557,0.77219,0.98216,21.67995,0.75496
430,41.548,0.72924,0.76766,0.98259,31.00438,0.75654
431,41.629,0.73152,0.7682,0.98272,43.37805,0.75829
432,41.708,0.7329,0.76772,0.98355,65.49532,0.76057
433,41.785,0.73613,0.76438,0.98397,73.16811,0.76228
434,41.871,0.7388,0.7665,0.98407,58.68305,0.76395
435,41.966,0.73984,0.77261,0.98416,31.38281,0.76641
436,42.057,0.74101,0.76914,0.98411,12.12833,0.76906
437,42.141,0.74208,0.76579,0.98451,8.76273,0.77131
438,42.236,0.74296,0.74607,0.98456,5.5683,0.77243
439,42.333,0.74353,0.72065,0.98493,4.15905,0.77256
440,42.427,0.74494,0.70263,0.98508,3.02915,0.77175
441,42.524,0.7455,0.69351,0.98532,3.01654,0.7707
442,42.619,0.74724,0.68448,0.98528,3.00481,0.76988
443,42.716,0.74852,0.68417,0.98512,2.99486,0.76668
444,42.811,0.74919,0.68346,0.98525,2.9853,0.76594
445,42.902,0.74979,0.6838,0.98499,2.97709,0.76016
446,42.994,0.74812,0.68605,0.98487,2.97026,0.75734
